Source File Name:	small_signal_Bridge_new
Signal:	FFT - Vib & Ref1 H1 Velocity / Voltage - Mag. & Phase

Frequency	Magnitude	Phase
18062.5	0.02481561	-96.1374
18125	0.02393368	-97.30884
18187.5	0.02366516	-97.82875
18250	0.02279825	-98.84898
18312.5	0.02172644	-98.6565
18375	0.02224376	-96.76735
18437.5	0.02175713	-96.33098
18500	0.02146373	-95.50117
18562.5	0.0203178	-95.88035
18625	0.02029658	-97.37983
18687.5	0.01930654	-98.58588
18750	0.01954497	-96.41796
18812.5	0.01852642	-94.62076
18875	0.01838479	-94.35926
18937.5	0.01886339	-93.53455
19000	0.01775056	-95.09977
19062.5	0.01708601	-93.37382
19125	0.01722448	-93.35635
19187.5	0.01681108	-91.71906
19250	0.01603436	-94.49119
19312.5	0.01637529	-93.32135
19375	0.01613981	-94.30036
19437.5	0.01576669	-95.3186
19500	0.0148963	-98.18372
19562.5	0.01396504	-99.38339
19625	0.01329503	-100.8887
19687.5	0.01317907	-102.1468
19750	0.01171584	-103.0851
19812.5	0.01067485	-107.369
19875	0.009222986	-105.493
19937.5	0.008234232	-103.5641
20000	0.007533927	-101.8172
20062.5	0.006449534	-101.8277
20125	0.005056047	-108.5799
20187.5	0.003835676	-94.27046
20250	0.004347612	-89.6704
20312.5	0.002978953	-95.225
20375	0.002475237	-98.44778
20437.5	0.001098905	-66.43069
20500	0.0007041511	-16.78189
20562.5	0.0005724329	91.2361
20625	0.002501542	72.16156
20687.5	0.00295478	69.63131
20750	0.003866686	80.14005
20812.5	0.004940853	90.32833
20875	0.006608042	94.42711
20937.5	0.009272311	97.42703
21000	0.01240284	93.80502
21062.5	0.01600967	89.14877
21125	0.01816431	73.8474
21187.5	0.01852077	71.56099
21250	0.01949698	71.73651
21312.5	0.02062353	70.72987
21375	0.02155278	71.81525
21437.5	0.02352696	74.4438
21500	0.02559119	75.00602
21562.5	0.02742471	74.94118
21625	0.0297978	76.32782
21687.5	0.03265835	77.99331
21750	0.03609904	76.38081
21812.5	0.03900151	76.57356
21875	0.04045291	77.40156
21937.5	0.04388326	77.85044
22000	0.04739482	76.20947
22062.5	0.05023601	76.07105
22125	0.05371551	76.37989
22187.5	0.05836288	77.83553
22250	0.0614775	76.4288
22312.5	0.06477619	75.66867
22375	0.06982578	75.86179
22437.5	0.07307363	76.47577
22500	0.0794036	76.73325
22562.5	0.08497959	76.56019
22625	0.09263045	76.51024
22687.5	0.09796892	78.52447
22750	0.1046568	76.7784
22812.5	0.1137271	78.55801
22875	0.1238671	76.33688
22937.5	0.1350373	77.17367
23000	0.1471166	77.15453
23062.5	0.1617509	76.98322
23125	0.1761766	76.82302
23187.5	0.189834	75.5298
23250	0.2096856	74.96416
23312.5	0.2291878	74.00624
23375	0.2546658	74.68451
23437.5	0.2870039	73.33837
23500	0.3318814	73.04455
23562.5	0.3729692	69.85155
23625	0.4381109	68.14367
23687.5	0.5083156	65.33517
23750	0.6051924	63.03302
23812.5	0.7458543	58.80219
23875	0.9564485	52.0331
23937.5	1.297852	42.08125
24000	1.770787	21.87392
24062.5	2.078326	-10.91587
24125	1.733926	-44.3195
24187.5	1.283659	-62.63028
24250	0.9675458	-72.94663
24312.5	0.7705016	-79.74542
24375	0.6398174	-83.31864
24437.5	0.5459975	-85.66533
24500	0.4707803	-88.10987
24562.5	0.4219613	-89.64059
24625	0.3766915	-90.43101
24687.5	0.3456026	-93.14611
24750	0.3288777	-93.45936
24812.5	0.315767	-96.52726
24875	0.3119363	-99.51177
24937.5	0.3305963	-103.6993
25000	0.3586724	-114.3946
25062.5	0.4234496	-133.9419
25125	0.4521413	-174.2251
25187.5	0.2988984	145.4049
25250	0.1877671	120.7656
25312.5	0.1318538	105.7486
25375	0.1147342	94.25674
25437.5	0.1084691	85.95049
25500	0.1123678	79.26933
25562.5	0.1226023	76.62456
25625	0.1379165	74.85482
25687.5	0.1570022	73.85384
25750	0.181445	70.48583
25812.5	0.2014912	69.7403
25875	0.23136	69.82027
25937.5	0.2684251	68.93395
26000	0.3170919	68.49422
26062.5	0.369781	67.52157
26125	0.4359211	65.85164
26187.5	0.5177153	65.67106
26250	0.6302169	63.31067
26312.5	0.7738369	60.76144
26375	0.9847288	56.78645
26437.5	1.294758	51.74877
26500	1.82169	40.30446
26562.5	2.512713	21.3807
26625	3.098542	-11.37458
26687.5	2.723341	-41.41595
26750	2.067472	-62.3391
26812.5	1.594777	-73.04999
26875	1.299688	-79.88789
26937.5	1.076412	-82.58444
27000	0.9266892	-85.00848
27062.5	0.8163532	-87.7979
27125	0.7460579	-89.46464
27187.5	0.6770167	-89.88048
27250	0.6248559	-90.97192
27312.5	0.5763549	-92.39379
27375	0.5384244	-91.39891
27437.5	0.4910357	-93.24186
27500	0.4714831	-92.55636
27562.5	0.4351936	-93.60086
27625	0.4091308	-92.96407
27687.5	0.3865915	-93.77313
27750	0.3569212	-93.48363
27812.5	0.3289525	-93.71315
27875	0.308796	-92.51863
27937.5	0.2791843	-92.17951
28000	0.2536221	-90.94018
28062.5	0.2231203	-89.47479
28125	0.1911711	-85.81692
28187.5	0.1571457	-80.5594
28250	0.11978	-70.05469
28312.5	0.08784932	-45.15141
28375	0.09552633	0.179248
28437.5	0.1681977	29.40202
28500	0.3018032	38.15569
28562.5	0.5205954	40.30069
28625	0.8910494	33.67425
28687.5	1.573255	14.95926
28750	2.204502	-21.88859
28812.5	1.948987	-56.99048
28875	1.481755	-73.70223
28937.5	1.228809	-81.3321
29000	1.038015	-86.13522
29062.5	0.9310094	-88.38708
29125	0.8540047	-91.00775
29187.5	0.7831019	-93.34434
29250	0.7557352	-93.54286
29312.5	0.7091411	-93.97085
29375	0.681692	-94.9634
29437.5	0.6462958	-95.88945
29500	0.6337631	-96.32927
29562.5	0.6101971	-96.26838
29625	0.5919825	-97.32811
29687.5	0.5859886	-97.76487
29750	0.5661873	-97.31757
29812.5	0.5530655	-97.86546
29875	0.5495343	-97.47166
29937.5	0.53743	-97.64533
30000	0.5316152	-97.51434
30062.5	0.5281868	-97.60699
30125	0.5277914	-98.60248
30187.5	0.5194722	-99.04114
30250	0.5124096	-98.00212
30312.5	0.5071506	-98.05717
30375	0.5063658	-97.69125
30437.5	0.507608	-98.66562
30500	0.4979053	-98.81989
30562.5	0.5050202	-99.03977
30625	0.5010898	-98.59185
30687.5	0.4997867	-99.31133
30750	0.5008236	-98.61962
30812.5	0.4962316	-98.78342
30875	0.4952804	-98.55357
30937.5	0.5002313	-99.2392
31000	0.4905195	-99.47993
31062.5	0.5007393	-99.32905
31125	0.5000321	-99.48647
31187.5	0.5049241	-99.41357
31250	0.5042312	-97.85583
31312.5	0.4939601	-99.84699
31375	0.5046433	-99.97252
31437.5	0.5018914	-100.1836
31500	0.5050541	-99.69429
31562.5	0.5067602	-100.2228
31625	0.5066617	-99.3539
31687.5	0.511983	-99.15847
31750	0.5093659	-100.0803
31812.5	0.5109084	-100.0928
31875	0.5220852	-99.26482
31937.5	0.5214361	-99.91013
32000	0.5171374	-100.1507
32062.5	0.5238792	-99.20695
32125	0.5312429	-100.4674
32187.5	0.5180634	-100.3271
32250	0.5294123	-100.1594
32312.5	0.5320822	-99.91142
32375	0.538927	-99.97374
32437.5	0.5380167	-99.85239
32500	0.5517413	-99.99792
32562.5	0.5503192	-100.0526
32625	0.5558303	-100.2911
32687.5	0.5535104	-100.469
32750	0.565762	-101.0582
32812.5	0.5677499	-100.5721
32875	0.5729371	-99.81204
32937.5	0.5785044	-100.3975
33000	0.5833761	-100.2557
33062.5	0.5851155	-101.0143
33125	0.5914645	-100.2926
33187.5	0.6064883	-101.7106
33250	0.6107301	-101.0141
33312.5	0.6090539	-101.5897
33375	0.6213632	-100.3095
33437.5	0.6264706	-101.6366
33500	0.6230925	-101.5617
33562.5	0.6359658	-101.8038
33625	0.6376417	-102.0556
33687.5	0.6458638	-101.4121
33750	0.6640379	-101.1049
33812.5	0.6645293	-101.1911
33875	0.6702686	-102.3929
33937.5	0.6882319	-102.8697
34000	0.6976755	-103.3294
34062.5	0.7062168	-103.2886
34125	0.7186431	-102.2232
34187.5	0.7047507	-102.8386
34250	0.6973083	-102.9956
34312.5	0.7226219	-104.5086
34375	0.7179223	-103.3377
34437.5	0.7299134	-102.7134
34500	0.7819981	-98.82581
34562.5	0.7771512	-99.10925
34625	0.8030537	-101.0731
34687.5	0.8142579	-100.4405
34750	0.8491818	-100.9676
34812.5	0.8622113	-101.9094
34875	0.8915442	-102.7081
34937.5	0.8836215	-102.8456
35000	0.9058009	-102.6184
35062.5	0.8842131	-102.4108
35125	0.9034626	-100.8858
35187.5	0.955411	-100.5844
35250	1.012109	-100.0717
35312.5	1.043323	-101.3062
35375	1.065235	-101.2448
35437.5	1.095892	-102.0309
35500	1.122199	-100.9304
35562.5	1.144402	-101.0006
35625	1.19393	-101.86
35687.5	1.249369	-102.1418
35750	1.256396	-101.8255
35812.5	1.313578	-102.5016
35875	1.336581	-102.7484
35937.5	1.393129	-102.8377
36000	1.410767	-103.5246
36062.5	1.490117	-103.6004
36125	1.569219	-103.8453
36187.5	1.632349	-104.1742
36250	1.674574	-103.6232
36312.5	1.741705	-104.0394
36375	1.836672	-104.7836
36437.5	1.924854	-105.3943
36500	2.043152	-105.5011
36562.5	2.158047	-105.9057
36625	2.299749	-106.7172
36687.5	2.40937	-106.0177
36750	2.615575	-108.4167
36812.5	2.780453	-108.1635
36875	3.020447	-109.3806
36937.5	3.362648	-110.6256
37000	3.673597	-112.2424
37062.5	4.170195	-113.2195
37125	4.703012	-115.7205
37187.5	5.3633	-120.0348
37250	6.525197	-126.4861
37312.5	7.981518	-134.6649
37375	10.16964	-152.0809
37437.5	11.32605	-179.7126
37500	9.042695	151.1534
37562.5	5.843829	133.849
37625	3.652323	129.0073
37687.5	2.211132	136.1264
37750	1.492885	166.5264
37812.5	1.781909	-155.8045
37875	2.857353	-138.0831
37937.5	4.522562	-134.7116
38000	7.287695	-140.3246
38062.5	12.31019	-157.4269
38125	16.89556	164.5821
38187.5	13.90471	128.1604
38250	9.82302	109.1795
38312.5	7.629386	100.339
38375	6.05114	95.26547
38437.5	5.115021	92.48775
38500	4.467244	89.78358
38562.5	3.876228	88.20278
38625	3.479105	87.59908
38687.5	3.185169	87.33071
38750	2.883823	84.62874
38812.5	2.64931	85.62382
38875	2.504603	84.36924
38937.5	2.319879	84.06257
39000	2.202486	83.39723
39062.5	2.082272	84.39395
39125	1.98188	84.12107
39187.5	1.850084	83.29158
39250	1.784278	83.07052
39312.5	1.666172	82.56776
39375	1.612646	81.69077
39437.5	1.537047	81.68391
39500	1.489777	82.58524
39562.5	1.39424	81.89866
39625	1.351247	82.08698
39687.5	1.291634	81.78793
39750	1.270365	81.31844
39812.5	1.217152	81.11644
39875	1.182335	82.17301
39937.5	1.133142	82.11936
40000	1.106352	81.67637
40062.5	1.067768	81.62238
40125	1.030847	81.4483
40187.5	1.01412	80.99663
40250	0.9956046	82.4784
40312.5	0.9577047	82.60352
40375	0.932039	83.47617
40437.5	0.9318465	83.29913
40500	0.9211648	81.92016
40562.5	0.8972495	81.30748
40625	0.8815432	80.21017
40687.5	0.8669134	80.89462
40750	0.8372527	80.2804
40812.5	0.7935111	80.09312
40875	0.7776442	79.88766
40937.5	0.7577388	80.05217
41000	0.7526775	81.73075
41062.5	0.7334764	83.47784
41125	0.7654292	84.49448
41187.5	0.7665243	81.4513
41250	0.7460668	81.31676
41312.5	0.7185155	79.42857
41375	0.724065	79.97105
41437.5	0.6901387	78.7067
41500	0.686219	80.21843
41562.5	0.6766173	78.69067
41625	0.6614619	79.69844
41687.5	0.6377431	79.28511
41750	0.6309903	78.69585
41812.5	0.6342648	78.88205
41875	0.623112	79.53844
41937.5	0.6129395	79.56897
42000	0.5962408	79.82903
42062.5	0.586414	78.4225
42125	0.5802974	78.45374
42187.5	0.5754848	78.52409
42250	0.570801	79.05823
42312.5	0.5577295	79.40244
42375	0.5489579	79.09754
42437.5	0.5467023	79.23687
42500	0.5369107	78.53861
42562.5	0.5254973	78.49989
42625	0.5241395	78.11377
42687.5	0.51795	79.29994
42750	0.5042982	79.70067
42812.5	0.4959956	79.22144
42875	0.5000844	79.25136
42937.5	0.4938521	78.82736
43000	0.4910619	78.56235
43062.5	0.4804327	78.70092
43125	0.4812996	78.97539
43187.5	0.4648657	78.87138
43250	0.4541046	78.39696
43312.5	0.4615301	77.17088
43375	0.455403	78.11455
43437.5	0.4465211	77.73103
43500	0.4445362	78.45428
43562.5	0.4345953	79.12464
43625	0.4320919	78.56062
43687.5	0.430884	77.07915
43750	0.4280758	77.86402
43812.5	0.4356631	78.34209
43875	0.4200326	78.16378
43937.5	0.4118314	78.01531
44000	0.4058001	78.24763
44062.5	0.4104948	78.13034
44125	0.4126877	76.83874
44187.5	0.4063173	77.62468
44250	0.4027109	77.34468
44312.5	0.3990035	78.22355
44375	0.3916552	77.66827
44437.5	0.3899082	77.679
44500	0.3899856	76.86295
44562.5	0.3877433	76.79702
44625	0.3824624	77.93234
44687.5	0.3854741	77.33389
44750	0.379749	78.47741
44812.5	0.3724294	77.43467
44875	0.3701321	77.5424
44937.5	0.370938	77.08186
45000	0.3711537	77.49542
45062.5	0.3662564	77.26507
45125	0.3633173	78.00168
45187.5	0.3576355	77.3778
45250	0.3594488	76.64504
45312.5	0.3559775	77.11494
45375	0.3552571	77.25983
45437.5	0.3529692	77.73512
45500	0.346325	77.63578
45562.5	0.3423752	78.02785
45625	0.3359734	77.21512
45687.5	0.3412136	77.72559
45750	0.3422781	76.87435
45812.5	0.3391603	77.04503
45875	0.3333544	77.29452
45937.5	0.3314784	77.07178
46000	0.3271839	77.04216
46062.5	0.3246002	77.29726
46125	0.3298905	76.46923
46187.5	0.327184	77.0875
46250	0.3234226	77.48042
46312.5	0.3229761	76.87627
46375	0.3180332	76.7422
46437.5	0.3146839	77.07339
46500	0.3173447	76.75007
46562.5	0.3133828	76.3625
46625	0.3116635	77.09615
46687.5	0.3086521	77.05469
46750	0.3043069	76.91774
46812.5	0.3081815	76.62486
46875	0.3080587	76.33325
46937.5	0.3047702	75.72621
47000	0.3059393	76.51163
47062.5	0.3085499	76.05788
47125	0.300533	76.23288
47187.5	0.2997891	75.57584
47250	0.2968817	75.46791
47312.5	0.3014454	76.08453
47375	0.3003399	76.02924
47437.5	0.2961041	76.42311
47500	0.2971029	75.52895
47562.5	0.2975501	75.59171
47625	0.2947516	74.86198
47687.5	0.2963568	75.97369
47750	0.2998972	76.60115
47812.5	0.2915468	77.27233
47875	0.2903599	76.60697
47937.5	0.2885256	75.38657
48000	0.2936146	75.29961
48062.5	0.2906433	75.19812
48125	0.2890072	76.16115
48187.5	0.2859245	75.66435
48250	0.2855622	75.35641
48312.5	0.2845102	75.32932
48375	0.2853203	76.00998
48437.5	0.2860742	75.93085
48500	0.2861793	76.63197
48562.5	0.2821634	76.59049
48625	0.2780602	75.8799
48687.5	0.2752976	75.42868
48750	0.2800259	75.3452
48812.5	0.2824906	75.95294
48875	0.2771257	75.64317
48937.5	0.2804891	76.14027
49000	0.2722453	75.8528
49062.5	0.2771985	74.93661
49125	0.2711325	75.32458
49187.5	0.2737059	75.67628
49250	0.2759056	75.33769
49312.5	0.2765189	75.84913
49375	0.2763658	75.11713
49437.5	0.277461	75.13801
49500	0.2758511	74.32175
49562.5	0.2816447	74.21107
49625	0.2767432	75.07542
49687.5	0.2782671	75.00125
49750	0.2741136	74.75433
49812.5	0.2727318	73.95586
49875	0.2734228	74.70024
49937.5	0.2777531	73.91601
50000	0.2800288	74.80602
50062.5	0.2885012	74.82808
50125	0.2845402	74.07879
50187.5	0.2880401	73.16278
50250	0.2839094	71.57732
50312.5	0.2918869	71.11121
50375	0.2935762	69.73284
50437.5	0.285557	67.1807
50500	0.2657783	65.26827
50562.5	0.249052	66.9902
50625	0.247627	69.51942
50687.5	0.2521448	71.68742
50750	0.2558237	72.28452
50812.5	0.2563412	72.75291
50875	0.261947	73.24456
50937.5	0.2643146	72.79393
51000	0.2687953	71.21919
51062.5	0.274466	71.27733
51125	0.279011	71.40109
51187.5	0.2778953	69.06929
51250	0.2801006	66.63446
51312.5	0.2682015	61.806
51375	0.2453548	60.25664
51437.5	0.226763	63.09255
51500	0.2214952	68.3832
51562.5	0.2238633	71.6981
51625	0.2272467	72.37312
51687.5	0.2343041	73.88239
51750	0.2368847	73.82475
51812.5	0.2423114	73.96558
51875	0.2411004	73.89299
51937.5	0.2449902	74.82673
52000	0.2471789	74.39326
52062.5	0.2442193	74.70926
52125	0.2513015	74.19125
52187.5	0.2511753	74.1314
52250	0.2530992	74.3747
52312.5	0.2568887	74.5236
52375	0.2575086	74.80064
52437.5	0.2529935	74.7579
52500	0.2559137	74.1716
52562.5	0.259321	73.29871
52625	0.2620901	74.69646
52687.5	0.2594342	73.97386
52750	0.260951	75.0834
52812.5	0.261546	73.81409
52875	0.2589866	73.87811
52937.5	0.2600451	73.75675
53000	0.2634015	74.86845
53062.5	0.2649674	75.02252
53125	0.2641492	74.6665
53187.5	0.2659753	74.49989
53250	0.2655151	73.57108
53312.5	0.2691468	74.24362
53375	0.2691669	74.30357
53437.5	0.2659352	74.30013
53500	0.2681675	74.6965
53562.5	0.2698693	73.38477
53625	0.2693098	73.57239
53687.5	0.2721481	73.73213
53750	0.2769879	74.2743
53812.5	0.2751139	74.25723
53875	0.2758884	73.72329
53937.5	0.2746208	73.69227
54000	0.2785675	73.81314
54062.5	0.2797922	73.68859
54125	0.28217	73.90274
54187.5	0.2816658	73.45564
54250	0.2826416	73.65144
54312.5	0.2862035	73.58986
54375	0.2860734	73.89709
54437.5	0.291707	73.55067
54500	0.2906104	73.69193
54562.5	0.2913009	73.72894
54625	0.2898814	73.01215
54687.5	0.2965735	73.12981
54750	0.2987046	73.89767
54812.5	0.3014982	74.44579
54875	0.3026267	72.93403
54937.5	0.3004846	73.20985
55000	0.3048057	72.9501
55062.5	0.3053754	72.63247
55125	0.3079759	72.9305
55187.5	0.3102524	73.5908
55250	0.3124982	73.23952
55312.5	0.3075145	73.36472
55375	0.3131183	73.58253
55437.5	0.3172732	73.11285
55500	0.3124751	73.44549
55562.5	0.3238025	73.55965
55625	0.3228807	73.60519
55687.5	0.3240556	72.49535
55750	0.322338	73.02822
55812.5	0.3318844	72.44138
55875	0.3332513	72.89424
55937.5	0.3329629	73.56167
56000	0.3356486	73.29186
56062.5	0.3355678	72.89031
56125	0.3422951	72.59366
56187.5	0.341069	72.60976
56250	0.3463532	72.6479
56312.5	0.3535444	72.32294
56375	0.3525461	72.60213
